,Title,Link,Content(RAW)
0,Konsolidasi Ekonomi di Tahun Politik - KADIN Indonesia,https://kadin.id/en/acara/konsolidasi-ekonomi-di-tahun-politik/,"CORE Indonesia bekerjasama dengan Kadin dan Apindo menyelenggarakan seminar CORE Economic Outlook 2024 dengan tema “Konsolidasi Ekonomi di Tahun Politik” yang akan diselenggarakan pada:

Selasa, 12 Desember 2023

12.00-16.00 WIB

Di Auditorium Perpusnas Lt.2

Jl. Medan Merdeka Selatan Jakarta Pusat.

Registration link : bit.ly/OUTLOOKCORE2024"
1,Bimtek Pembentukan Tim Koordinasi Daerah Vokasi,https://kadin.id/en/acara/bimtek-pembentukan-tim-koordinasi-daerah-vokasi/,"Bidang Vokasi dan Sertifikasi Kadin Indonesia akan mengadakan “Bimbingan Teknis (Bimtek) Pembentukan Tim Koordinasi Daerah Vokasi (TKDV) di Tingkat Provinsi, Kabupaten, dan Kota” secara hybrid yang diselenggarakan pada:

Rabu, 13 Desember 2023

Pkl 13.00–15.00 WIB

Di Menara Kadin Indonesia, lt. 29

Link Zoom : https://us06web.zoom.us/j/85622376578?pwd=BUbJUIglxgEqmkijIawV1Da5o5jt8J.1

Meeting ID : 856 2237 6578

Passcode : KADIN

Kegiatan ini dilaksanakan sehubungan dengan amanat Perpres 68/2022 tentang Revitalisasi Pendidikan Vokasi dan Pelatihan Vokasi, dimana memerlukan peran dan sinergi antar pemangku kepentingan di tingkat pusat dan daerah."
2,"[FOTO] Presiden Ingatkan BPKH Profesional, Akuntabel, dan …",https://www.presidenri.go.id/foto/presiden-ingatkan-bpkh-profesional-akuntabel-dan-hati-hati-kelola-dana-umat/,"Presiden Joko Widodo membuka Rapat Kerja (Raker) Tahun 2023 dan Milad ke-6 Badan Pengelola Keuangan Haji (BPKH) di Istana Negara, Jakarta, pada Selasa, 12 Desember 2023. Dalam arahannya, Presiden Jokowi mengingatkan agar BPKH dapat mengelola dana umat dengan profesional, akuntabel, hati-hati, dan sesuai prinsip-prinsip syariah.

“Saya titip hati-hati mengelola dana umat ini, harus betul-betul dikelola dengan profesional mengedepankan akuntabilitas, mengedepankan prinsip-prinsip syariah dan kehati-hatian yang amat sangat, karena sekali lagi ini adalah uang rakyat, uangnya umat,” ujar Presiden."
3,Pembelajaran yang Memperkuat Akar Sejarah Dorong …,https://www.mpr.go.id/berita/Pembelajaran-yang-Memperkuat-Akar-Sejarah-Dorong-Pemahaman-terhadap-Nilai-Kepahlawanan,"Pembelajaran yang Memperkuat Akar Sejarah Dorong Pemahaman terhadap Nilai Kepahlawanan

Pengakuan terhadap nilai-nilai kepahlawanan mesti diikuti dengan model pembelajaran yang memperkuat akar sejarah sehingga dapat dijadikan dasar setiap warga negara untuk menentukan arah kehidupan bangsa di masa depan.

""Salah satu upaya pembelajaran sejarah adalah dengan menanamkan model kepemimpinan Ratu Kalinyamat untuk ditumbuhkan melalui proses belajar mengajar di setiap institusi pendidikan,"" kata Wakil Ketua MPR RI, Lestari Moerdijat pada acara Sosialisasi Empat Konsensus Kebangsaan MPR RI di depan para guru sejarah di Kabupaten Jepara, Jawa Tengah, Selasa (12/12).

Menurut Lestari, guru sejarah merupakan aktor yang mampu membumikan pembelajaran sejarah melalui pemahaman peristiwa masa lalu untuk menghadirkan keutamaan nilai pada masa kini, sehingga generasi penerus mampu memaknai masa depan mereka.

Dalam konteks pembelajaran sejarah Pahlawan Nasional Ratu Kalinyamat, ujar Rerie, sapaan akrab Lestari, diharapkan para guru tidak hanya memosisikan diri sebagai pencerita berdasarkan narasi parsial, tetapi menjadi individu yang merefleksikan pentingnya pendekatan sejarah secara menyeluruh dalam menetapkan prioritas nilai yang berdampak pada arah kehidupan bangsa.

Kekaguman akan kepandaian, pengetahuan dan kesahajaan Sang Ratu Jepara yang disampaikan para sejarawan, tambah Rerie yang juga anggota Komisi X DPR RI dari Dapil II Jawa Tengah itu, dapat menjadi inspirasi para guru untuk menghubungkan heroisme, cinta tanah air dan semangat anti-kolonialisme, dengan nilai kebangsaan yang bersumber dari Pancasila, UUD 1945, NKRI dan Bhineka Tunggal Ika.

Keterhubungan antara nilai kepemimpinan Ratu Kalinyamat dan konsensus kebangsaan, ujar Anggota Majelis Tinggi Partai NasDem itu, dapat diungkapkan lewat pemaparan sepak terjang Ratu Kalinyamat yang menempatkan persatuan, perdamaian, kesetiakawanan dan keadilan yang bermuara pada gotong-royong yang senafas dengan nilai Pancasila, sebagai norma dasar kehidupan berbangsa dan bernegara.

Model pembelajaran sejarah secara holistik, ujar Rerie, dapat menciptakan perubahan paradigma berpikir karena peserta didik mampu menyadari bahwa para leluhur mereka telah mewariskan kecerdasan spiritual dan komunal untuk bertumbuh sebagai pribadi sehingga mampu berpartisipasi aktif dalam dinamika pembangunan nasional.

Menurut Rerie, kepemimpinan Ratu Jepara itu dapat disimpulkan sebagai sebuah tonggak sejarah kehidupan bangsa.

Karena, tegasnya, kepahlawanan Ratu Kalinyamat mampu menginspirasi seluruh anak bangsa dan menumbuhkan rasa cinta tanah air melalui semangat anti-kolonialisme yang ditanamkan oleh Sang Ratu.*

Anggota Terkait :





Dr. LESTARI MOERDIJAT S.S., M.M."
4,"Temu Tokoh Nasional Unisan Gorut, Fadel Muhammad: Kampus …","https://www.mpr.go.id/berita/Temu-Tokoh-Nasional-Unisan-Gorut,-Fadel-Muhammad:-Kampus-Ini-Bukti-Kepedulian-Saya-Mengembangkan-SDM-Daerah","Temu Tokoh Nasional Unisan Gorut, Fadel Muhammad: Kampus Ini Bukti Kepedulian Saya Mengembangkan SDM Daerah

Gorut - Wakil Ketua MPR RI Prof. Dr. Ir. H. Fadel Muhammad mengungkapkan bahwa salah satu faktor utama tumbuh berkembang dan majunya sebuah daerah bahkan negara, sangat ditentukan oleh kualitas dan kuantitas Sumber Daya Manusia (SDM) nya. Dan sumber lahirnya SDM unggul melalui lembaga pendidikan.

Begitu pentingnya pembangunan SDM tersebut, sampai membuat Fadel Muhammad saat menjabat Gubernur Provinsi Gorontalo selama dua periode mencantumkan pembangunan SDM di posisi pertama dari tiga program utamanya sebagai Gubernur. Dua program lainnya adalah, Pertanian yang difokuskan pada komoditas jagung. Ketiga, Perikanan dan Kelautan yakni ikan tangkap, ikan budidaya dan rumput laut.

Hal tersebut disampaikan Pimpinan MPR dari Kelompok DPD RI ini kepada para dekan, dosen, mahasiswa dan mahasiswi Unisan Gorut, yang hadir dalam acara 'Temu Tokoh Nasional/Kepemudaan/Keagamaan/Civitas Academica ' kerjasama MPR dengan Universitas Ichsan Gorontalo Utara (Unisan Gorut), di aula pertemuan Unisan Gorut, Kecamatan Kwandang, Gorut, Senin (11/12/2023).

Turut hadir dalam acara, Ibu Hana Hasanah, Staf Khusus Fadel Muhammad Hasan Shahab, Rektor Unisan Gorut Dr. Fatmah M. Ngabito dan Wakil Rektor III Bachtiar Senung, M.Kom.

Bidang SDM, lanjut Guru Besar Fakultas Ilmu Administrasi (FIA) Universitas Brawijaya (UB) bidang Kewirausahaan Sektor Publik ini, kemudian mendapat perhatian yang besar, sebab akan sangat sulit bagi dirinya mengembangkan Provinsi yang baru saja dimekarkan dari induknya Provinsi Sulawesi Utara tanpa SDM yang mumpuni.

""Saya harus memutar otak bagaimana melahirkan SDM unggul, karena UU mengatakan kalau daerah pemekaran tidak maju akan dikembalikan lagi ke induknya. Saya berpikir untuk segera membangun lembaga-lembaga pendidikan tinggi yang baik, berkualitas dan terjangkau untuk masyarakat,"" katanya.

Diceritakan Fadel Muhammad, gerakan pertama mengembangkan kampus IKIP Gorontalo menjadi Universitas Negeri Gorontalo dengan rektor pertamanya Nelson Pomalingo yang saat ini menjabat Bupati Gorontalo. Lalu Fadel Muhammad melirik pengembangan perguruan tinggi swasta.

""Ichsan waktu itu masih kecil belom tersentuh pengembangan. Saya bantu mendukung, membina. Perjalanan kampus ini menjadi Universitas Ichsan sampai seperti ini sangat panjang perjalanannya. Intinya saya kawal terus sampai berdiri bagus dan hadir di setiap Kabupaten di Provinsi Gorontalo. Alhamdulillah, kini sudah ada di Pohuwato, Boalemo, Gorut,"" papar Anggota DPD RI Dapil Provinsi Gorontalo ini.

Ditegaskan Fadel Muhammad, perjuangan mendirikan dan mengembangkan lembaga pendidikan tinggi itu sangat sulit dan tidaklah mudah. Untuk itu, Fadel berharap agar para mahasiswa dan mahasiswi jangan menyia-nyiakan kesempatan menuntut ilmu di Unisan Gorut. Harus belajar dengan rajin dan giat.

""Saya harap selama proses kuliah, kalian harus mulai mengembangkan pemikiran yang namanya Entrepreneurial Mind. Berpikir secara entrepreneur. Jadi, kalian akan siap ketika lulus kuliah mau kemana. Tidak monoton, hanya ada satu dalam pikiran setelah lulus kuliah kemana melamar kerja,"" urainya.

Fadel Muhammad mengungkapkan bahwa potensi perekonomian di seluruh wilayah Gorontalo sangat baik, seperti pertanian, peternakan, perikanan, pariwisata juga mineral dan tambang. Hal itulah yang menjadi tolak ukur dan parameter Fadel Muhammad menginisiasi pengembangan Gorontalo menjadi sebuah Provinsi tersendiri.

""Tidak mungkin ujug-ujug saya minta pemekaran kalau saya tidak melihat dan yakin akan potensi Gorontalo di masa depan,"" tambahnya.

Fadel Muhammad mendorong mahasiswa-mahasiswi untuk terus mengembangkan entrepreneurial mindnya, hingga pada akhirnya bisa meneruskan pengembangan Provinsi Gorontalo lebih baik dari yang dilakukannya.

Anggota Terkait :





Prof. Dr. Ir. FADEL MUHAMMAD"
5,Tiga Harapan Fadel Muhammad Kepada Pj. Bupati Gorontalo Utara,https://www.mpr.go.id/berita/Tiga-Harapan-Fadel-Muhammad-Kepada-Pj.-Bupati-Gorontalo-Utara,"Tiga Harapan Fadel Muhammad Kepada Pj. Bupati Gorontalo Utara

Gorut - Wakil Ketua MPR RI Prof. Dr. Ir. H. Fadel Muhammad mengapresiasi keputusan Presiden RI Joko Widodo melalui Menteri Dalam Negeri Tito Karnavian yang menunjuk Sila Nurainsyah Botutihe sebagai Penjabat Bupati Gorontalo Utara (Penjabup Gorut), yang dilantik oleh Penjabat Gubernur Gorontalo Ismail Pakaya, Rabu (6/12/2023).

""Saya sudah lama mengenal Sila Botutihe sejak lama. Beliau adalah seorang yang ahli dalam bidang perikanan. Sehingga menurut saya, keahliannya tersebut menjadi bahan pertimbangan pemerintah pusat, menunjuk beliau memegang sementara tampuk pemerintahan di Gorut,"" ujar Fadel Muhammad kepada wartawan, usai bertemu dan berdialog dengan Sila Botutihe, di Kantor Bupati Gorut, Molingkapoto, Kwandang, Kabupaten Gorut, Senin (11/12/2023).

Lebih jauh, mantan Gubernur Provinsi Gorontalo dua periode ini, mengutarakan pemerintah pusat juga sangat menginginkan agar komoditas perikanan di Gorut bisa meningkat dan ditingkatkan lagi ke depan.

""Dalam perbincangan dengan Penjabup Gorut, saya pribadi berharap tiga hal saja. Pertama, tetap tingkatkan bidang pertanian sehingga bisa menjadi ikon secara nasional. Kedua, setelah perikanan dilanjutkan dengan bidang pertanian. Ketiga, maksimalkan potensi pariwisata,"" terang Anggota DPD RI Dapil Provinsi Gorontalo ini.

Pemahaman Fadel Muhammad tentang seluk beluk seputar wilayah Gorut, memang sangat baik. Sebab, wilayah ini merupakan salah satu Kabupaten yang dimekarkannya, saat dirinya menjabat Gubernur Gorontalo.

Potensi pariwisata Gorut terutama wisata bahari sangat ditekankan oleh Fadel Muhammad. Sebab, sangat bagus dan menjanjikan serta sudah dikenal oleh wisatawan domestik dan mancanegara. Seperti, pulau Saronde. Sebuah pulau cantik yang dikeliling lautan mempesona, surganya pecinta snorkeling dan diving.

""Memang sudah bagus pengelolaan potensi pariwisata Gorut selama ini. Tapi ke depan semestinya bisa dimaksimalkan lagi dengan tambahan anggaran dan perencanaan yang lebih baik lagi,"" ujarnya.

Dalam kesempatan yang sama, Penjabup Gorut Sila Botutihe menyampaikan rasa bangga dan apresiasinya dikunjungi seorang tokoh nasional sekaliber Fadel Muhammad. Apalagi, kedatangan tokoh yang sangat dihormatinya ini membawa pesan penting untuk dirinya dan untuk perkembangan Gorut.

""Pesan dan harapan yang dibawa beliau, bagi kami merupakan sebuah motivasi dan memberi semangat kami untuk bekerja lebih baik lagi ke depan,"" ujarnya.

Anggota Terkait :





Prof. Dr. Ir. FADEL MUHAMMAD"
6,Chandra Asri memperoleh investasi ekuitas US$194 juta dari …,https://www.idnfinancials.com/id/news/48610/,"TPIA - PT. Chandra Asri Petrochemical Tbk Rp 4.760 +60 (+1,28%) Info Selengkapnya!

JAKARTA. PT Chandra Asri Petrochemical Tbk (TPIA) telah meraih investasi ekuitas senilai US$194 juta dari Electric Generating Public Company Limited (EGCO) Group, sebuah perusahaan energi independen dari Thailand.

Investasi tersebut dilakukan lewat penyertaan modal di salah PT Chandra Daya Investasi (CDI), salah satu anak usaha milik TPIA yang menjalankan bisnis solusi infrastruktur. Adapun porsi saham yang dimilik oleh EGCO Group di dalam CDI adalah sebanyak 30%. Sementara itu 70% saham CDI sisanya tetap dikuasai oleh perseroan.

Erwin Ciputra, Presiden Direktur TPIA, mengatakan investasi dari EGCO Group disambut baik oleh perseroan untuk menciptakan sinergi demi masa depan berkelanjutan. “Dengan memanfaatkan kekuatan, kami yakin kolaborasi ini akan membawa perubahan positif dalam lanskap infrastruktur di Indonesia,” jelas Ciputra, lewat keterbukaan informasi di Bursa Efek Indonesia (BEI).

Sementara itu Thepparat Theppitak, CEO EGCO Group, menegaskan investasi tersebut sejalan dengan misi perusahaan untuk mengakuisisi fasilitas pembangkit listrik berbahan bakar gas dengan kualitas tinggi, yang menguntungkan. “Investasi ini akan membantu memperkuat bisnis pembangkit listrik kami dan memperluas bisnis bahan bakar serta infrastruktur lainnya di ASEAN,” jelas Theppitak.

Dengan investasi yang masuk dari EGCO Group, CDI nantinya akan menggunakan dana tersebut untuk pengembangan bisnis infrastruktur. Ini mencakup pengembangan infrastruktur energi, air, hingga pelabuhan. (KR)"
7,RISE kantongi Rp400 miliar dari BCA untuk pengembangan usaha,https://www.idnfinancials.com/id/news/48612/,"BBCA - PT. Bank Central Asia Tbk Rp 8.700 -50 (-0,57%) Info Selengkapnya!

JAKARTA. PT Jaya Sukses Makmur Sentosa Tbk (RISE), perusahaan real estate yang dimiliki oleh Hermanto Tanoko dari grup Tancorp, telah memperoleh fasilitas kredit senilai Rp400 miliar dari PT Bank Central Asia Tbk (BBCA) atau dikenal dengan nama Bank BCA.

Go Herliani Prayogo, Corporate Secretary RISE, mengatakan fasilitas kredit tersebut diberikan dalam bentuk kredit lokal (rekening koran). “Tujuan transaksi untuk pengembangan usaha,” kata Prayogo, dalam keterangan resminya.

Adapun jangka waktu fasilitas kredit tersebut, kata Prayogo, berlaku selama 12 bulan sejak penandatanganan perjanjian kredit. Namun tidak disebutkan berapa bunga yang dikenakan oleh Bank BCA kepada RISE atas fasilitas kredit tersebut.

Menurut data idnfinancials.com, RISE memiliki total aset sebanyak Rp2,91 triliun per 30 September 2023. Kas dan setara kas perseroan tercatat sebesar Rp292,26 miliar. Sementara itu total ekuitas perseroan tercatat sebesar Rp2,44 triliun.

Saat ini sebanyak 80,29% saham RISE dikendalikan oleh Hermanto Tanoko melalui PT Tancorp Global Sentosa. Kemudian PT Berneroca Uniti Abadi Harmoni memiliki 0,0001% saham dan sisanya sebanyak 19,7% saham dimiliki oleh investor ritel, dengan porsi kepemilikan saham masing-masing di bawah 5%. (KR)"
8,NCKL salurkan Rp500 miliar untuk dukungan modal dan …,https://www.idnfinancials.com/id/news/48611/,"NCKL - PT. Trimegah Bangun Persada Tbk Rp 1.050 +10 (+1,00%) Info Selengkapnya!

JAKARTA. PT Trimegah Bangun Perkasa Tbk (NCKL), perusahaan tambang bijih nikel, telah menyalurkan fasilitas pinjaman senilai Rp500 miliar untuk salah satu anak usahanya yaitu PT Gane Tambang Sentosa (GTS).

Franssoka Y. Sumarwi, Legal Manager & Corporate Secretary NCKL, mengatakan pihaknya dan GTS telah menandatangani perjanjian pinjaman pada 8 Desember 2023 kemarin. Sesuai dengan perjanjian tersebut, GTS diberikan tenor pinjaman selama 5 tahun dan bunga sebesar 8% per tahun.

“Perjanjian pinjaman ini bertujuan untuk belanja modal dan kegiatan operasional rutin PT GTS,” jelas Sumarwi, lewat keterbukaan informasi di Bursa Efek Indonesia (BEI).

Menurut data idnfinancials.com, GTS adalah entitas usaha yang baru saja diakuisisi oleh NCKL pada November 2023 kemarin. Jumlah investasi yang dikeluarkan oleh perseroan untuk akuisisi 99% saham GTS adalah sebanyak Rp7,92 miliar.

Sebelumnya, GTS dikendalikan oleh Harita Jayaraya. GTS memiliki Izin Usaha Pertambangan (IUP) untuk komoditas nikel yang berlaku hingga akhir 2040. Konsesi area tambang yang dimiliki oleh GTS berada di Halmahera Selatan, dengan luas 2.314 hektar. (KR)"
9,"Baru gunakan 30% capex 2023, WSBP tingkatkan capex 2024 …",https://www.idnfinancials.com/id/news/48607/spending-capex-wsbp-raise-capex-idr,"WSBP - PT. Waskita Beton Precast Tbk Rp 50 0 (0%) Info Selengkapnya!

JAKARTA - Hingga akhir Q3 2023, PT Waskita Beton Precast Tbk (WSBP) baru menggunakan 30% dari belanja modal (capital expenditure/capex) yang disiapkan untuk tahun ini. Namun, WSBP juga berencana meningkatkan jumlah capex untuk tahun 2024 sekitar 10%-20%.

Berdasarkan pemaparan direksi WSBP pada Annual Public Expose 2023 WSBP hari ini (12/12), perseroan baru menggunakan 30% dari total belanja modal yang dianggarkan untuk tahun 2023 sebesar Rp 80 miliar.

""Pertama, kami gunakan untuk maintenance produk cetakan kami. Selain itu, capex juga digunakan untuk menyelesaikan investasi untuk sertifikasi tanah, agar aset-aset yang kami punya lebih firm,"" jelas Bambang Dwi Wijayanto, Direktur Pengembangan Bisnis WSBP.

Untuk tahun 2024, WSBP memproyeksikan anggaran belanja modal mencapai Rp100-130 miliar. ""Ini akan dipergunakan untuk memperkuat infrastruktur plant kami, baik batching plant an production plant. Alokasinya juga kami alihkan untuk cetakan-cetakan baru yang akan digunakan untuk proyek-proyek di tahun 2024,"" ungkap Wijayanto lebih jauh.

WSBP memang tengah merencanakan inovasi produk, seperti precast pier dan pierhead yang akan banyak dimanfaatkan untuk konstruksi LRT, MRT, dan jembatan-jembatan besar di daerah padat.

""Kami membidik proyek-proyek di Jakarta, seperti MRT, LRT, dan [tol] double decker Taman Mini - Pondok Indah - Ulujami,"" ujar Wijayanto.

Hingga kini, WSBP masih bergantung pada pendanaan dari kas internalnya. ""Kalau credit rating kami sudah naik, baru kami bisa mempertimbangkan mencari pendanaan baru,"" ungkap Asep Mudzakir, Direktur Keuangan dan Manajemen Risiko WSBP.

September lalu, WSBP juga dilaporkan telah melangsungkan aksi korporasi sebagai bagian dari resktrukturisasi utangnya, lewat konversi utang menjadi saham bagi para vendor-vendor-nya.

Masih optimis, WSBP memproyeksikan akan meraup Rp1,4-1,5 triliun pada akhir tahun ini. ""Dari sisi laba-rugi, kami optimis 2023 ini akan positif, walaupun angkanya masih menunggu proses audit,"" sambung Mudzakir.

Sampai akhir Q2 2023, WSBP memang membukukan kinerja yang baik. Perseroan berhasil mendulang pendapatan hingga Rp2 triliun dan laba bersih Rp675 miliar. (ZH)"
